Neuron Name,SKID,SKID in V14?,Classification,DN Type,Status,DT Hemisphere,Soma Hemisphere,ID,Annotations
GF input neuron 2981230 SMA ET - unclassified type 113,2981229,True,,DNb,Complete,Right,RIGHT HEMISPHERE,Unidentified DN,"['miscellaneous DNb', 'right DT', 'DNb', 'Unidentified DN', 'Input to GF1 lateral', 'CardLab', 'GF1 input neuron', 'RIGHT HEMISPHERE', 'Descending Neuron', 'Input to GF1 anterior', 'ACBR', 'CAT-Ongoing', 'Unclassified GF input neuron - Descending', 'connectives', 'postsynaptic to JONeuron', 'AL_R', 'AMMC_R', 'GNG', 'AVLP_R', 'EPA_R', 'IPS_R', 'PVLP_R', 'SAD', 'SPS_R', 'WED_R', 'Unilateral', 'Homolateral', 'Ipsilateral', 'projection neuron', 'Unclassified GF input neuron - type 113']"
[LH.R]-> 3094187 Plummet ASB,3094186,True,DNp44,DNp,Complete,Right,RIGHT HEMISPHERE,Identified DN,"['Hiro_Dropbox_DNs', 'right DT', 'DNp', 'Identified DN', 'RIGHT HEMISPHERE', 'Descending Neuron', 'DNp44', 'SCHLEGEL_LHN_Nov2017', 'LHN_JUNE_2017_NON_PN', 'PS_LHN_042019_100um', 'PS_LHN_042019_10um', 'putative descending neuron', 'SCHLEGEL_MB_092017', 'SCHLEGEL_LH_092017', 'ASB LHN', 'neuron 5075912', 'LH descending', 'LHN_JUNE_2017', 'HPN downstream', 'Plummet', 'Plummet R']"
neuron 3131236,3131235,True,DNg type 37,DNg,duplicate - manual,Right,LEFT HEMISPHERE,Typed DN,"['Typed DN', 'DNg type 37', 'Searching for JO-A', 'miscellaneous DNg', 'right DT', 'LEFT HEMISPHERE', 'duplicate - manual', 'Unidentified DN', 'DNg', 'Descending Neuron']"
neuron 3158873 PG,3158872,True,DNp06,DNp,Complete,Right,RIGHT HEMISPHERE,Identified DN,"['DNp06', 'Published in Namiki 2018', 'right DT', 'DNp', 'Identified DN', 'Descending Neuron', 'GF1 input neuron', 'Input to GF1 anterior', 'Postsynaptic to LPLC2', 'Postsynaptic to LC4', 'CardLab-collaborating', 'input from LC6 medial', 'downstream of LC6', 'ReiserLab', 'postsynaptic to LC6', 'CAT-Ongoing', 'PCBR', 'connectives', 'Visual_Interneuron', 'AMMC_R', 'GNG', 'AVLP_R', 'EPA_R', 'IPS_R', 'GOR_R', 'ICL_R', 'LAL_R', 'PLP_R', 'PVLP_R', 'SAD', 'VES_R', 'WED_R', 'RIGHT HEMISPHERE', 'Homolateral', 'projection neuron', 'Unilateral', 'Ipsilateral']"
neuron 3401517 MR,3400286,,,DNg,duplicate - manual,Right,RIGHT HEMISPHERE,Miscellaneous DNg,"['miscellaneous DNg', 'duplicate - manual', 'right DT', 'DNg', 'Unidentified DN', 'Mt_unknown', 'ReiserLab', 'Neuron 10237417 split from neuron 411566 ME', 'ReiserLab-collaborating', 'Descending Neuron', 'RIGHT HEMISPHERE', 'Bilateral', 'CAT-Ongoing']"
GF input neuron 3410596 JSP - unclassified type 114,3410595,True,DNp63,DNp,Complete,Left,RIGHT HEMISPHERE,Identified DN,"['DNp63', 'Hiro_Dropbox_DNs', 'left DT', 'DNp', 'Identified DN', 'Descending Neuron', 'CardLab', 'GF1 input neuron', 'Input to GF1 medial', 'CAT-Ongoing', 'dark cytosol', 'RIGHT HEMISPHERE', 'MCBR', 'connectives', 'UnknownTracts', 'Unclassified GF input neuron - Descending', 'ATL_R', 'AVLP_R', 'FB', 'EB', 'FLA_L', 'IB_L', 'IB_R', 'EPA_R', 'GNG', 'GOR_R', 'ICL_R', 'MB_ML_L', 'MB_whole_L', 'PVLP_R', 'SAD', 'SCL_R', 'SPS_R', 'SMP_R', 'Homolateral', 'Ipsilateral', 'projection neuron', 'Unilateral', 'Unclassified GF input neuron - type 114']"
GF input neuron 3472730 JSP - unclassified type 115,3472729,True,,DNg,Complete,Left,RIGHT HEMISPHERE,Miscellaneous DNg,"['miscellaneous DNg', 'left DT', 'DNg', 'Unidentified DN', 'CAT-Ongoing', 'CardLab', 'GF1 input neuron', 'RIGHT HEMISPHERE', 'Input to GF1 medial', 'Descending Neuron', 'GCBR', 'connectives', 'Bilateral', 'UnknownTracts', 'Unclassified GF input neuron - Descending', 'EPA_R', 'FLA_R', 'GNG', 'GOR_R', 'IPS_R', 'IPS_L', 'LAL_R', 'PLP_R', 'SAD', 'WED_R', 'VES_R', 'SPS_R', 'Heterolateral', 'midLine', 'projection neuron', 'Unclassified GF input neuron - type 115']"
neuron 3538313 CPM,3538312,True,DNc type 1,DNc,Complete,Right,LEFT HEMISPHERE,Typed DN,"['DNc type 1', 'Typed DN', 'Unidentified DN', 'DNc', 'LEFT HEMISPHERE', 'right DT', 'CardLab', 'Descending Neuron', 'ReiserLab', 'CAT-Ongoing', 'CAT-LoP Tracing']"
GF input neuron 3622013 MAR JSP- unclassified type 116,3622012,True,DNg40,DNg,Complete,Left,RIGHT HEMISPHERE,Identified DN,"['DNg40', 'Published in Namiki 2018', 'left DT', 'DNg', 'Identified DN', 'Postsynaptic to LC4', 'split from GF input neuron 867171 SM SMA', 'Postsynaptic to LPLC2', 'GF1 input neuron', 'CardLab', 'Input to GF1 medial', 'CAT-Ongoing', 'RIGHT HEMISPHERE', 'neuron 9590202 JSP', 'Input to GF1 anterior', 'Bilateral', 'connectives', 'Visual_Interneuron', 'AMMC:ammc', 'Descending Neuron', 'Heterolateral', 'GCBR', 'Unclassified GF input neuron - Descending', 'postsynaptic to JONeuron', 'AMMC_R', 'AVLP_R', 'EPA_R', 'GNG', 'GOR_R', 'IB_R', 'PLP_R', 'PVLP_R', 'SAD', 'SPS_R', 'WED_R', 'midLine', 'projection neuron', 'Unclassified GF input neuron - type 116']"
DN106 neuron 3719110 SMA,3719109,True,DNp10,DNp,Complete,Right,LEFT HEMISPHERE,Identified DN,"['DNp10', 'Published in Namiki 2018', 'right DT', 'DNp', 'Identified DN', 'LEFT HEMISPHERE', 'Descending Neuron', 'CardLab', 'DN106 Exploration', 'CAT-Ongoing', 'MCBR', 'Heterolateral', 'Bilateral', 'Sensorimotor', 'connectives']"
LPTC input 3752690 KS,3752689,True,DNb02,DNb,duplicate - manual,Left,RIGHT HEMISPHERE,Identified DN,"['duplicate - manual', 'DNb02', 'Published in Namiki 2018', 'left DT', 'DNb', 'RIGHT HEMISPHERE', 'Identified DN', 'Descending Neuron', 'ChiappeLab', 'Chiappe-DN', 'putative DNb02', 'IPS_L', 'IPS_R']"
Neuron 4090851 MAR JSP ET,4090850,True,DNp18,DNp,Complete,Right,RIGHT HEMISPHERE,Identified DN,"['DNp18', 'Published in Namiki 2018', 'Identified DN', 'putative_DNp18', 'right DT', 'DNp', 'RIGHT HEMISPHERE', 'Descending Neuron', 'DN_Autoseg_Exploration', 'CAT-Ongoing', 'CardLab']"
GF input neuron 4262598 JSP - unclassified type 117,4262597,True,,DNg,Complete,Right,RIGHT HEMISPHERE,Miscellaneous DNg,"['miscellaneous DNg', 'right DT', 'DNg', 'Unidentified DN', 'RIGHT HEMISPHERE', 'CAT-Ongoing', 'CardLab', 'GCBR', 'GF1 input neuron', 'Input to GF1 anterior', 'Descending Neuron', 'connectives', 'Homolateral', 'Unclassified GF input neuron - Descending', 'AMMC_R', 'IPS_R', 'GNG', 'PLP_R', 'PVLP_R', 'SAD', 'WED_R', 'Unilateral', 'Ipsilateral', 'projection neuron', 'Unclassified GF input neuron - type 117']"
GF input neuron 4262610 JSP - unclassified type 40,4262609,True,DNg type 2,DNg,Complete,Right,RIGHT HEMISPHERE,Typed DN,"['right DT', 'DNg', 'Typed DN', 'DNg type 2', 'Unidentified DN', 'Bilateral', 'Input to GF2 anterior', 'Descending Neuron', 'CardLab', 'GF1 input neuron', 'Unclassified GF input neuron - type 40', 'CAT-Ongoing', 'GF2 input neuron', 'RIGHT HEMISPHERE', 'Input to GF1 anterior', 'GCBR', 'SET-ventral', 'connectives', 'multiTract', 'SET-2', 'AMMC_R', 'GNG', 'IPS_L', 'WED_L', 'SAD', 'AMMC_L', 'Ipsilateral', 'Heterolateral', 'projection neuron']"
neuron 4304972 FW-N4,4304971,True,DNp type 6,DNp,duplicate - manual,Right,RIGHT HEMISPHERE,Typed DN,"['duplicate - manual', 'right DT', 'DNp', 'RIGHT HEMISPHERE', 'Typed DN', 'DNp type 6', 'Unidentified DN', 'Descending Neuron', 'FML - interesting descending', 'DicksonLab', 'CAT-Ongoing']"
DNp42 4342817 FW FML Velvet,4342816,True,DNp42,DNp,Complete,Right,RIGHT HEMISPHERE,Identified DN,"['Hiro_Dropbox_DNs', 'right DT', 'DNp', 'Identified DN', 'RIGHT HEMISPHERE', 'DNp42', 'Descending Neuron', 'FML - interesting descending', 'FML - downstream of Duck', 'FML - downstream of Duck - Descending', 'FML - downstream of Duck - multiple', 'Velvet R', 'DicksonLab', 'PS_LHN_042019_10um', 'Velvet', 'CAT-Ongoing', 'JS_downstream_LGC_PED', 'FW-N3', 'neuron 4342817 FW-N3', 'putative VGlut-F-300416', 'Paper: Huoviala et al 2018', 'FML - huoviala2017 preprint']"
putative DNp29 neuron 4623309 JSP,4623308,True,DNp29,DNp,Complete,Left,RIGHT HEMISPHERE,Identified DN,"['DNp29', 'Published in Namiki 2018', 'left DT', 'DNp', 'Identified DN', 'RIGHT HEMISPHERE', 'Descending Neuron', 'CardLab', 'CAT-Ongoing', 'putative DNp29', 'DN Exploration', 'DN106 Exploration', 'PS_LHN_042019_10um', 'around_ped_4186_zz', 'around_ped_4186_nonRD-bundle_zz', 'MCBR', 'Heterolateral', 'Bilateral', 'Sensorimotor', 'hidden4186_nonRD']"
putative DNp09 neuron 4738739 SMA JSP,4738738,True,DNp09,DNp,duplicate - manual,Right,RIGHT HEMISPHERE,Identified DN,"['DNp09', 'Published in Namiki 2018', 'duplicate - manual', 'right DT', 'DNp', 'Identified DN', 'RIGHT HEMISPHERE', 'Descending Neuron', 'Postsynaptic to LPLC2', 'Postsynaptic to LC4', 'CAT-Ongoing', 'CardLab', 'PCBR', 'Homolateral', 'Sensorimotor', 'pMN2 Input']"
neuron 4916380 SMA ET,4916379,True,DNc type 1,DNc,Complete,Left,RIGHT HEMISPHERE,Typed DN,"['DNc type 1', 'Typed DN', 'Unidentified DN', 'DNc', 'RIGHT HEMISPHERE', 'left DT', 'Descending Neuron', 'DN Exploration', 'CAT-Ongoing', 'CardLab']"
GF1 DB GMC SM,4947529,True,DNp01,DNp,Complete,Right,RIGHT HEMISPHERE,Identified DN,"['Published in Namiki 2018', 'right DT', 'DNp', 'RIGHT HEMISPHERE', 'Identified DN', 'DNp01', 'Postsynaptic to LPLC2', 'LR ARJ', 'Descending Neuron', 'Marta LR Matched', 'deformetricaLR_refine_ARJ', 'reg_ARJ_right', 'Homolateral', 'paired with #291870', 'PCBR', 'GF1 DB GMC SM', 'CardLab', 'registration landmarks', 'skeletonizing to identification only', 'giant fiber neuron', 'Sensorimotor', 'Postsynaptic to LC4', 'prune ARJ', 'CAT-Ongoing', 'connectives', 'locked', 'Blen12']"
neuron 4962690,4962689,True,,DNg,duplicate - manual,Right,LEFT HEMISPHERE,Miscellaneous DNg,"['miscellaneous DNg', 'duplicate - manual', 'Unidentified DN', 'DNg', 'right DT', 'LEFT HEMISPHERE', 'Descending Neuron']"
neuron 5040959,5040958,True,,,unclear FW,Right,FindSoma,Unidentified DN,"['unclear FW', 'Unidentified DN', 'FindSoma', 'Descending Neuron', 'right DT', 'CAT-Ongoing', 'DicksonLab']"
neuron 5063629 NF TY,5063628,True,putative DNp23,DNp,Complete,Left,RIGHT HEMISPHERE,Typed DN,"['long middle tract', 'Unidentified DN', 'Typed DN', 'DNp type 10', 'left DT', 'DNp', 'RIGHT HEMISPHERE', 'CAT-Ongoing', 'C6 sampler widget partners', 'DicksonLab', 'Connected to pMP8', 'putative DNp23', 'Lineage_annotated', 'Volker_Hemilineage: CP1', 'ItoLee_Hemilineage: SMPpv2', 'around_ped_4186_zz', 'around_ped_4186_nonRD-bundle_zz', 'Volker_Lineage: CP1', 'ItoLee_Lineage: SMPpv2', 'JS upstream SPN', 'Downstream of aIP-g', 'JS upstream SPN SEZ', 'hidden4186_nonbundle', 'hidden4186_nonRD', 'Connected to pMN2', 'N2 Sampler Widget Partners', 'Descending Neuron', 'pMP12', 'pMN2 Input', 'pMP8 Output', 'C6 Output']"
neuron 5068419 FW-N5,5068418,True,DNp type 6,DNp,duplicate - manual,Right,RIGHT HEMISPHERE,Typed DN,"['DNp type 6', 'duplicate - manual', 'right DT', 'DNp', 'RIGHT HEMISPHERE', 'Typed DN', 'Unidentified DN', 'Descending Neuron', 'FML - interesting descending', 'CAT-Ongoing', 'DicksonLab']"
neuron 5072448 FW-N7,5072447,True,DNp type 6,DNp,Complete,Right,RIGHT HEMISPHERE,Typed DN,"['right DT', 'RIGHT HEMISPHERE', 'DNp', 'Descending Neuron', 'Typed DN', 'DNp type 6', 'Unidentified DN', 'FML - interesting descending', 'DicksonLab', 'CAT-Ongoing']"
neuron 5084149 FW-N9,5084148,True,DNp type 6,DNp,Complete,Right,RIGHT HEMISPHERE,Typed DN,"['Typed DN', 'DNp type 6', 'Unidentified DN', 'DNp', 'RIGHT HEMISPHERE', 'right DT', 'Descending Neuron', 'FML - interesting descending', 'CAT-Ongoing', 'DicksonLab']"
pMN2 neuron 5094165 FW-N2 CMP NF TY,5094164,True,DNp type 6,DNp,Complete,Right,RIGHT HEMISPHERE,Typed DN,"['right DT', 'DNp', 'Typed DN', 'DNp type 6', 'RIGHT HEMISPHERE', 'Unidentified DN', 'forknalln2', 'CAT-Ongoing', 'Connected to pMP8', 'FML - interesting descending', 'DicksonLab', 'IT_for_graph', 'Descending Neuron', 'pMN2', 'pMN2 Input', 'pMP8 Output', 'C6 Output']"
neuron 5182683 KE,5182611,True,DNp type 21,DNp,duplicate - manual,Right,LEFT HEMISPHERE,Typed DN,"['Typed DN', 'DNp type 21', 'Unidentified DN', 'duplicate - manual', 'DNp', 'right DT', 'Descending Neuron', 'CAT-Ongoing', 'Kathi in bundle too posterior', 'JS upstream SPN', 'in bundle with aIP neurons_not of interest', 'LEFT HEMISPHERE', 'JS upstream SPN SEZ']"
neuron 5218081 ME,5218080,True,DNg05,DNg,Complete,Right,RIGHT HEMISPHERE,Identified DN,"['DNg05', 'Published in Namiki 2018', 'right DT', 'DNg', 'Identified DN', 'RIGHT HEMISPHERE', 'Chiappe-Complete', 'FlyWire_ground_truth', 'Chiappe-DN', 'Chiappe-HorizontalOpticFlowNetwork', 'LPTCIN output neuron', 'Split from HSN', 'ChiappeLab', 'rLPTCIN output neuron', 'uLPTCIN output neuron', 'Descending Neuron', 'ReiserLab', 'CAT-Ongoing', 'Putative DNg05']"
Putative Right DNp15 5224930 ME,5224929,True,DNp15,DNp,Complete,Right,RIGHT HEMISPHERE,Identified DN,"['DNp15', 'Published in Namiki 2018', 'right DT', 'DNp', 'RIGHT HEMISPHERE', 'Identified DN', 'Chiappe-DN', 'Chiappe-HorizontalOpticFlowNetwork', 'putative DNp15', 'Descending Neuron', 'VNC', 'ChiappeLab', 'IPS_R']"
Putative Right DNa02 5233084 ME,5233083,True,DNa02,DNa,Complete,Right,RIGHT HEMISPHERE,Identified DN,"['DNa02', 'Published in Namiki 2018', 'right DT', 'DNa', 'RIGHT HEMISPHERE', 'Identified DN', 'ReiserLab', 'ChiappeLab', 'CAT-Ongoing', 'Post Synaptic to HSS', 'Post Synaptic to HSN', 'Post Synaptic to HSE', 'Chiappe-DN', 'Chiappe-HorizontalOpticFlowNetwork', 'Lineage_annotated', 'Volker_Hemilineage: DALd', 'ItoLee_Hemilineage: WEDd1', 'Volker_Lineage: DALd', 'ItoLee_Lineage: WEDd1', 'Chiappe-Ongoing', 'Descending Neuron', 'neuron 3490558 PG', 'HS input neuron', 'Putative DNa02', 'LAL_R', 'IPS_R', 'GNG', 'EPA_R', 'VNC', 'VES_R']"
neuron 5239602 KS,5239601,True,putative DNp16/17,DNp,Complete,Right,RIGHT HEMISPHERE,Identified DN,"['Published in Namiki 2018', 'right DT', 'DNp', 'RIGHT HEMISPHERE', 'Identified DN', 'putative_DNp16/17', 'Chiappe-DN', 'ChiappeLab', 'IPS_R', 'SPS_R', 'VNC', 'uLPTCIN output neuron', 'LPTCIN output neuron', 'putative p16', 'putative p17', 'Descending Neuron']"
neuron 5247132 ME,5247131,True,DNg08,DNg,duplicate - manual,Right,RIGHT HEMISPHERE,Identified DN,"['DNg08', 'Published in Namiki 2018', 'Identified DN', 'RIGHT HEMISPHERE', 'duplicate - manual', 'DNg', 'right DT', 'Descending Neuron', 'ChiappeLab', 'LPTCIN input neuron', 'Chiappe-Putative AN', 'GNG', 'IPS_R', 'VNC', 'uLPTCIN input neuron', 'Putative Ascending Neuron', 'Right Hemisphere']"
GF input neuron 5268404 JSP - unclassified type 118,5268403,True,DNg type 20,DNg,Complete,Right,RIGHT HEMISPHERE,Typed DN,"['Typed DN', 'DNg type 20', 'right DT', 'DNg', 'Unidentified DN', 'CAT-Ongoing', 'Input to GF1 anterior', 'GCBR', 'Descending Neuron', 'GF1 input neuron', 'RIGHT HEMISPHERE', 'CardLab', 'connectives', 'Unclassified GF input neuron - Descending', 'Bilateral', 'SET-2', 'AMMC_R', 'IPS_R', 'GNG', 'SAD', 'WED_R', 'Heterolateral', 'Ipsilateral', 'projection neuron', 'Unclassified GF input neuron - type 118']"
DN106 neuron 5279997 SMA,5279996,True,DNp10,DNp,Complete,Left,RIGHT HEMISPHERE,Identified DN,"['DNp10', 'Published in Namiki 2018', 'left DT', 'DNp', 'Identified DN', 'RIGHT HEMISPHERE', 'Heterolateral', 'Bilateral', 'MCBR', 'CardLab', 'Descending Neuron', 'CAT-Ongoing', 'DN106 Exploration', 'Sensorimotor', 'connectives', 'Postsynaptic to LLPC2', 'Postsynaptic to LPLC4', 'Postsynaptic to LC28', 'SET-2']"
neuron 5319639 JSP,5319638,True,,DNp,Complete,Left,RIGHT HEMISPHERE,Miscellaneous DNp,"['miscellaneous DNp', 'left DT', 'DNp', 'RIGHT HEMISPHERE', 'Unidentified DN', 'CAT-Ongoing', 'CardLab', 'Descending Neuron', 'DN44 Exploration', 'PCBR', 'Heterolateral', 'Bilateral', 'Sensorimotor']"
neuron 5321582 JSP,5321581,True,,DNp,Complete,Left,RIGHT HEMISPHERE,Miscellaneous DNp,"['miscellaneous DNp', 'left DT', 'DNp', 'Unidentified DN', 'CardLab', 'DN44 Exploration', 'CAT-Ongoing', 'RIGHT HEMISPHERE', 'Descending Neuron', 'PCBR', 'Heterolateral', 'Bilateral', 'Sensorimotor', 'pMN1', 'pMP8 Output']"
putative DNp31 neuron 5321650 JSP,5321649,True,DNp31,DNp,Complete,Left,RIGHT HEMISPHERE,Identified DN,"['DNp31', 'Published in Namiki 2018', 'left DT', 'DNp', 'Identified DN', 'RIGHT HEMISPHERE', 'Descending Neuron', 'CardLab', 'DN44 Exploration', 'CAT-Ongoing', 'PCBR', 'Heterolateral', 'Bilateral', 'Sensorimotor', 'Postsynaptic to LC28', 'SET-2']"
putative DNp05 neuron 5321794 JSP,5321793,True,DNp05,DNp,Complete,Left,RIGHT HEMISPHERE,Identified DN,"['DNp05', 'Published in Namiki 2018', 'left DT', 'DNp', 'Identified DN', 'CardLab', 'DN44 Exploration', 'CAT-Ongoing', 'Descending Neuron', 'Postsynaptic to LC4', 'Postsynaptic to LPLC2', 'RIGHT HEMISPHERE', 'Bilateral', 'PCBR', 'Heterolateral', 'Sensorimotor']"
putative DNp05 neuron 5324058 JSP,5324057,True,DNp05,DNp,Complete,Right,LEFT HEMISPHERE,Identified DN,"['DNp05', 'Published in Namiki 2018', 'right DT', 'DNp', 'Identified DN', 'LEFT HEMISPHERE', 'Bilateral', 'CAT-Ongoing', 'CardLab', 'DN44 Exploration', 'Descending Neuron', 'PCBR', 'Heterolateral', 'Sensorimotor']"
putative DNp07 neuron 5329031 JSP,5329030,True,DNp07,DNp,Complete,Right,LEFT HEMISPHERE,Identified DN,"['DNp07', 'Published in Namiki 2018', 'right DT', 'DNp', 'Identified DN', 'CAT-Ongoing', 'CardLab', 'Descending Neuron', 'DN44 Exploration', 'LEFT HEMISPHERE', 'Bilateral', 'PCBR', 'Heterolateral', 'Sensorimotor']"
putative DNp11 neuron 5349448 JSP ET,5349447,True,DNp11,DNp,Complete,Left,RIGHT HEMISPHERE,Identified DN,"['DNp11', 'Published in Namiki 2018', 'left DT', 'DNp', 'Identified DN', 'postsynaptic to LPC1', 'Visual', 'CardLab', 'Postsynaptic to LPLC1', 'RIGHT HEMISPHERE', 'Bilateral', 'DN44 Exploration', 'Heterolateral', 'LO-R', 'Postsynaptic to LPLC2', 'PCBR', 'Descending Neuron', 'Postsynaptic to LC4', 'Sensorimotor', 'CAT-Ongoing']"
neuron 5353954 Robin CMP NF,5353953,True,DNd01,DNd,no FW soma,Right,FindSoma,Identified DN,"['no FW soma', 'DNd01', 'Published in Namiki 2018', 'right DT', 'DNd', 'Identified DN', 'FindSoma', 'CAT-Ongoing', 'DicksonLab', 'Connected to pMN2', 'Connected to pMP8', 'Putative DNd01', 'Upstream of aIP-g', 'N2 Sampler Widget Partners', 'Descending Neuron', 'NAMK_DANs_all', 'AJES_all_y5PAMs_all_upstream', 'NAMK_DANs_nolin_VNC', 'C6 Output', 'pMN2 Input', 'pMP8 Output', 'SMP_upstream_PAM10', 'putative SAG Right', 'neuron 10901676', 'NAMK_DANs_VNC_04', 'neuron 10849024', 'KJH_first_7_y5_USNs']"
neuron 5365749 JSP,5365748,True,DNp type 14,DNp,Complete,Left,RIGHT HEMISPHERE,Typed DN,"['left DT', 'DNp', 'Typed DN', 'DNp type 14', 'Heterolateral', 'Sensorimotor', 'Descending Neuron', 'RIGHT HEMISPHERE', 'Bilateral', 'CardLab', 'CAT-Ongoing', 'DN44 Exploration', 'Unidentified DN', 'PCBR']"
neuron 5436698 RP,5436697,True,DNa type 4,DNa,duplicate - auto,Right,RIGHT HEMISPHERE,Typed DN,"['duplicate - auto', 'right DT', 'DNa', 'Typed DN', 'DNa type 4', 'Unidentified DN', 'RIGHT HEMISPHERE', 'Yellow Large Neurons', 'CAT-Ongoing', 'CardLab', 'Descending Neuron', 'ACBR', 'Homolateral', 'Sensorimotor']"
neuron 5510814 JSP,5510813,True,,DNp,Complete,Left,RIGHT HEMISPHERE,Miscellaneous DNp,"['miscellaneous DNp', 'left DT', 'DNp', 'Unidentified DN', 'CardLab', 'CAT-Ongoing', 'DN44 Exploration', 'RIGHT HEMISPHERE', 'Descending Neuron', 'Bilateral', 'PCBR', 'Heterolateral', 'Sensorimotor']"
neuron 5600051 MD,5600050,True,DNp type 18,DNp,Complete,Left,RIGHT HEMISPHERE,Typed DN,"['long middle tract', 'Typed DN', 'DNp type 18', 'left DT', 'Unidentified DN', 'RIGHT HEMISPHERE', 'DNp', 'Descending Neuron', 'CAT-Ongoing', 'Lineage_annotated', 'Volker_Hemilineage: CP1', 'ItoLee_Hemilineage: SMPpv2', 'Volker_Lineage: CP1', 'ItoLee_Lineage: SMPpv2', 'Downstream of aIP-g', 'around_ped_4186_zz', 'RubinLab', 'around_ped_4186_nonRD-bundle_zz', 'hidden4186_nonbundle', 'hidden4186_nonRD', 'pMP8 Output']"
putative DNp26 neuron 5634001 JSP,5634000,True,DNp26,DNp,Complete,Left,RIGHT HEMISPHERE,Identified DN,"['DNp26', 'Published in Namiki 2018', 'left DT', 'DNp', 'Identified DN', 'RIGHT HEMISPHERE', 'DN44 Exploration', 'CAT-Ongoing', 'CardLab', 'Descending Neuron', 'PCBR', 'Heterolateral', 'Bilateral', 'Sensorimotor', 'Postsynaptic to LC28']"
neuron 5634015 JSP,5634014,True,DNp type 21,DNp,Complete,Left,RIGHT HEMISPHERE,Typed DN,"['Typed DN', 'DNp type 21', 'left DT', 'DNp', 'Unidentified DN', 'RIGHT HEMISPHERE', 'Descending Neuron', 'JS upstream SPN left SEZ', 'CardLab', 'JS upstream SPN left', 'DN44 Exploration', 'CAT-Ongoing']"
neuron 5675128 JSP,5675127,True,DNp type 14,DNp,Complete,check DT,RIGHT HEMISPHERE,Typed DN,"['check DT', 'DNp', 'Typed DN', 'DNp type 14', 'aSIP_downstream_v14-seg-li-new', 'Bilateral', 'CAT-Ongoing', 'DN44 Exploration', 'CardLab', 'RIGHT HEMISPHERE', 'DN_Autoseg_Exploration', 'Unidentified DN', 'Descending Neuron', 'Card_DN_Exploration', 'DN Exploration']"
neuron 6132250 [SIP.R]-[SMP.R]-[SEZ.R]-[VNC] AJES Millais,6132249,True,,DNp,duplicate - manual,Right,LEFT HEMISPHERE,Unidentified DN,"['long middle tract', 'Bilateral', 'LEFT HEMISPHERE', 'DNp', 'duplicate - manual', 'right DT', 'Unidentified DN', 'Descending Neuron', ""KJH_all_B'2a_all_upstream"", 'NAMK_DANs_VNC_04', ""SMP_upstream_PAM-B'2a_4-no_MB_neurons"", ""SMP_upstream_PAM-B'2a_4"", 'NAMK_DANs_all', 'NAMK_DANs_VNC', ""SMP_upstream_all_PAM-B'2a"", 'MWP_UPSTREAM_MP1', ""SMP_upstream_all_PAM-B'2a-no_MB_neurons"", ""SMP_upstream_PAM-B'2a_1"", 'test for joe', 'Merged: neuron 12839692', ""SMP_upstream_PAM-B'2a_1-no_MB_neurons"", 'NAMK_DANs_nolin_VNC']"
DNg 6167116 FML Weimaraner,6167115,True,DNg type 22,DNg,duplicate - manual,Right,LEFT HEMISPHERE,Typed DN,"['DNg type 22', 'Typed DN', 'duplicate - manual', 'right DT', 'DNg', 'LEFT HEMISPHERE', 'Unidentified DN', 'Descending Neuron', 'pMN2 Input']"
DNp43 6180225 FML Redhead,6180224,True,DNp43,DNp,Complete,Right,RIGHT HEMISPHERE,Identified DN,"['DNp43', 'Hiro_Dropbox_DNs', 'right DT', 'DNp', 'RIGHT HEMISPHERE', 'Identified DN', 'Redhead', 'Redhead R', 'FML - downstream of Duck - Descending', 'Descending Neuron', 'FML - downstream of Duck - multiple', 'FML - downstream of Duck', 'Paper: Huoviala et al 2018', 'FML - huoviala2017 preprint']"
SPN left 6188398 JS,6188397,True,DNg30,DNg,Complete,Right,LEFT HEMISPHERE,Identified DN,"['Published in Namiki 2018', 'Identified DN', 'DNg30', 'DNg', 'right DT', 'CAT-Ongoing', 'LEFT HEMISPHERE', 'Descending Neuron', 'JS upstream SPN', 'JS upstream SPN AVLP', 'JS upstream SPN SEZ', 'neuron 8865696']"
GF input neuron 6314464 SMA - unclassified type 40,6314463,True,DNg type 2,DNg,Complete,Right,RIGHT HEMISPHERE,Typed DN,"['right DT', 'DNg', 'Typed DN', 'DNg type 2', 'Unidentified DN', 'Unclassified GF input neuron - type 40', 'Input to GF2 anterior', 'CAT-Ongoing', 'Input to GF1 anterior', 'CardLab', 'GF1 input neuron', 'GF2 input neuron', 'Descending Neuron', 'RIGHT HEMISPHERE', 'GCBR', 'connectives', 'multiTract', 'SET-2', 'AMMC_R', 'IPS_R', 'GNG', 'SAD', 'AMMC_L', 'Bilateral', 'Ipsilateral', 'Heterolateral', 'projection neuron']"
SPN upstream 6390530 JS,6390529,True,,DNp,duplicate - manual,Right,RIGHT HEMISPHERE,Miscellaneous DNp,"['miscellaneous DNp', 'duplicate - manual', 'right DT', 'DNp', 'Unidentified DN', 'RIGHT HEMISPHERE', 'Descending Neuron', 'JS upstream SPN', 'JS upstream SPN SEZ']"
Neuron 6395200,6395199,True,DNp type 6,DNp,Complete,Right,RIGHT HEMISPHERE,Typed DN,"['right DT', 'DNp', 'Typed DN', 'DNp type 6', 'RIGHT HEMISPHERE', 'CAT-Ongoing', 'CardLab', 'Descending Neuron', 'Unidentified DN']"
