Neuron Name,SKID,SKID in V14?,Annotation Info,Specific Annotation,Annotations
neuron 5225179 ME,5225178,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'LPTCIN input neuron', 'uLPTCIN input neuron', 'rLPTCIN input neuron', 'ChiappeLab', 'GNG', 'VNC', 'Ascending Neuron', 'FlyWire_ground_truth', 'Chiappe-AN-TypeII', 'Chiappe-Right', 'Complete Morphology', 'Chiappe-AN', 'Right Hemisphere']"
neuron 5225191 ME,5225190,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'VNC', 'ChiappeLab', 'uLPTCIN input neuron', 'LPTCIN input neuron', 'Ascending Neuron', 'GNG', 'Chiappe-AN-TypeI', 'FlyWire_ground_truth', 'Chiappe-Right', 'Complete Morphology', 'Chiappe-AN', 'ME-AN-TypeI', 'Right Hemisphere']"
neuron 5239672 ME,5239671,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'rLPTCIN input neuron', 'GNG', 'uLPTCIN input neuron', 'ChiappeLab', 'LPTCIN input neuron', 'Chiappe-Putative AN', 'ongoing', 'Putative Ascending Neuron', 'Chiappe-Ongoing', 'Right Hemisphere']"
neuron 5239680 ME,5239679,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'LPTCIN input neuron', 'ChiappeLab', 'VNC', 'Ascending Neuron', 'GNG', 'uLPTCIN input neuron', 'Chiappe-AN-TypeI', 'FlyWire_ground_truth', 'Chiappe-Right', 'Complete Morphology', 'Chiappe-AN', 'ME-AN-TypeI', 'Right Hemisphere']"
neuron 5239693 ME,5239692,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'rLPTCIN input neuron', 'bLPTCIN input neuron', 'neuron 4304155', 'Chiappe-Putative AN', 'CAT-Ongoing', 'DicksonLab', 'uLPTCIN input neuron', 'ChiappeLab', 'LPTCIN input neuron', 'IPS_R', 'Putative Ascending Neuron', 'DN106 input neuron', 'CardLab', 'Right Hemisphere', 'VNC', 'SPS_L']"
neuron 5239795 ME,5239794,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'LPTCIN input neuron', 'uLPTCIN input neuron', 'VNC', 'rLPTCIN input neuron', 'GNG', 'IPS_L', 'Putative Ascending Neuron', 'ChiappeLab', 'Chiappe-Putative AN', 'IPS_R']"
neuron 5239859 ME,5239858,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'ChiappeLab', 'uLPTCIN input neuron', 'rLPTCIN input neuron', 'LPTCIN input neuron', 'Putative Ascending Neuron', 'GNG', 'VNC', 'Chiappe-Putative AN', 'Right Hemisphere']"
neuron 5239942 ME,5239941,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'right DT', 'ChiappeLab', 'GNG', 'VNC', 'LPTCIN input neuron', 'uLPTCIN input neuron', 'Chiappe-Putative AN', 'Putative Ascending Neuron', 'Right Hemisphere']"
neuron 5247059 ME,5247058,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'uLPTCIN input neuron', 'LPTCIN input neuron', 'ChiappeLab', 'GNG', 'VNC', 'Ascending Neuron', 'Chiappe-AN-TypeI', 'FlyWire_ground_truth', 'Chiappe-Right', 'Complete Morphology', 'Chiappe-AN', 'ME-AN-TypeI', 'Right Hemisphere']"
neuron 5247235 ME,5247234,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'Ascending Neuron', 'VNC', 'GNG', 'LPTCIN input neuron', 'uLPTCIN input neuron', 'ChiappeLab', 'FlyWire_ground_truth', 'Chiappe-AN-TypeII', 'Chiappe-Right', 'Complete Morphology', 'Chiappe-AN', 'Right Hemisphere']"
neuron 5247243 ME,5247242,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'GNG', 'ChiappeLab', 'uLPTCIN input neuron', 'rLPTCIN input neuron', 'LPTCIN input neuron', 'VNC', 'Ascending Neuron', 'Chiappe-AN-TypeI', 'FlyWire_ground_truth', 'Chiappe-Right', 'Complete Morphology', 'Chiappe-AN', 'ME-AN-TypeI', 'Right Hemisphere']"
GF input neuron 5260154 JSP - unclassified type 106,5260153,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'CAT-Ongoing', 'CardLab', 'GF1 input neuron', 'RIGHT HEMISPHERE', 'Ascending Neuron', 'Input to GF1 anterior', 'dark cytosol', 'connectives', 'Unclassified GF input neuron - Ascending', 'AMMC_R', 'AVLP_R', 'GNG', 'PVLP_R', 'SAD', 'WED_R', 'Unilateral', 'Homolateral', 'projection neuron', 'Ipsilateral', 'Unclassified GF input neuron - type 106']"
neuron 5348935,5348934,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'putative descending neuron']"
Neuron 5868448,5868447,True,Ascending,Putative_Ascending,"['right DT', 'Putative_Ascending']"
neuron 6435366 KS,6435365,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'Chiappe-Putative AN', 'uLPTCIN input neuron', 'LPTCIN input neuron', 'GNG', 'IPS_R', 'ChiappeLab', 'Putative Ascending Neuron', 'Right Hemisphere']"
neuron 6478041 ME,6478040,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'VNC', 'ChiappeLab', 'Ascending Neuron', 'LPTCIN input neuron', 'GNG', 'uLPTCIN input neuron', 'Chiappe-AN-TypeI', 'FlyWire_ground_truth', 'Chiappe-Right', 'Complete Morphology', 'Chiappe-AN', 'ME-AN-TypeI', 'Right Hemisphere']"
neuron 6478048 ME,6478047,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'uLPTCIN input neuron', 'LPTCIN input neuron', 'GNG', 'ChiappeLab', 'Ascending Neuron', 'VNC', 'FlyWire_ground_truth', 'Chiappe-AN-TypeII', 'Chiappe-Right', 'Complete Morphology', 'Chiappe-AN', 'Right Hemisphere']"
neuron 6478094 ME,6478093,True,Ascending,Ascending Neuron,"['right DT', 'Putative_Ascending', 'LPTCIN input neuron', 'GNG', 'Ascending Neuron', 'uLPTCIN input neuron', 'ChiappeLab', 'VNC', 'FlyWire_ground_truth', 'Chiappe-Right', 'Chiappe-AN-TypeIII', 'Complete Morphology', 'Chiappe-AN']"
neuron 6478101 ME,6478100,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'uLPTCIN input neuron', 'ChiappeLab', 'GNG', 'LPTCIN input neuron', 'VNC', 'Ascending Neuron', 'FlyWire_ground_truth', 'Chiappe-AN-TypeII', 'Chiappe-Right', 'Complete Morphology', 'Chiappe-AN', 'Right Hemisphere']"
neuron 6497854 ME,6497853,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'ChiappeLab', 'IPS_R', 'rLPTCIN input neuron', 'uLPTCIN input neuron', 'Putative Ascending Neuron', 'Chiappe-Putative AN', 'LPTCIN input neuron', 'Right Hemisphere']"
neuron 6536632 [SMP.R]-[SMP.L]-[SEZ.R]->VNC AJES Glaucium,6536631,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'AJES_all_y5PAMs_all_upstream', 'SMP_upstream_PAM17', 'AJES_y5_upstream_SEZ', 'For_Ito_lineages_Apr18', 'KJH_y5_17_old', 'GD_y5_upstream_fragment_skids', 'AJES_PAM17_unique', 'NO_VNC- >SMP', 'test for joe', 'NAMK_DANs_VNC', 'NAMK_DANs_all', 'NAMK_DANs_nolin_VNC', 'NAMK_DANs_VNC_03', 'SEZ_01_sampled_upstream', 'SEZ_01_e', 'KJH_first_7_y5_USNs']"
Grey Herron input 6717484 PDP,6717483,True,Ascending,Putative_Ascending,['Putative_Ascending']
neuron 6910270 ME,6910269,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'rLPTCIN input neuron', 'uLPTCIN input neuron', 'GNG', 'ChiappeLab', 'LPTCIN input neuron', 'VNC', 'Ascending Neuron', 'Chiappe-AN-TypeI', 'FlyWire_ground_truth', 'Chiappe-Right', 'Complete Morphology', 'Chiappe-AN', 'ME-AN-TypeI', 'Right Hemisphere']"
GF input neuron 7064035 JSP - unclassified type 107,7064034,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'GF1 input neuron', 'Input to GF1 anterior', 'Ascending Neuron', 'CardLab', 'RIGHT HEMISPHERE', 'CAT-Ongoing', 'connectives', 'Unclassified GF input neuron - Ascending', 'AMMC_R', 'GNG', 'SAD', 'VES_R', 'WED_R', 'Unilateral', 'Homolateral', 'projection neuron', 'Ipsilateral', 'Unclassified GF input neuron - type 107']"
neuron 7206007 KS,7206006,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'Chiappe-Putative AN', 'ChiappeLab', 'IPS_R', 'Putative Ascending Neuron', 'VNC', 'GNG', 'uLPTCIN input neuron', 'LPTCIN input neuron', 'Right Hemisphere']"
neuron 7267429,7267428,True,Ascending,Putative_Ascending,['Putative_Ascending']
SPN upstream 7280514 JS,7280513,True,Ascending,Putative_Ascending,"['right DT', 'Putative_Ascending', 'JS upstream SPN', 'JS upstream SPN AVLP']"
mAL upstream 7386465 KMS,7386464,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'mAL upstream', 'mAL upstream ascending', 'mAL_comp_contra', 'mAL contra upstream 2', 'dMS-b like', 'JefferisLab']"
neuron 7404025 NF,7404024,True,Descending,FindSoma,"['Exists V14', 'no FW soma', 'Putative_Ascending', 'right DT', 'Unidentified DN', 'FindSoma', 'CAT-Ongoing', 'N2 Sampler Widget Partners', 'DicksonLab', 'Connected to pMN2', 'neuron 8550788 NF', 'neuron 8240720', 'neuron 7364772', 'VNC', 'uLPTCIN input neuron', 'LPTCIN input neuron', 'SAD', 'GNG', 'Putative Ascending Neuron', 'neuron 2627359', 'Descending Neuron', 'pMN2 Input']"
mAL upstream 7414528 KMS,7414527,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'mAL upstream', 'mAL upstream ascending', 'mAL_comp_contra', 'mAL contra upstream 2', 'dMS-b like', 'JefferisLab']"
Nujabes upstream 7448771 JS,7448770,True,Ascending,Putative_Ascending,"['right DT', 'Putative_Ascending', 'JS upstream Nujabes']"
Gustatory lALT? 7584628 IS RJVR,7584627,True,Ascending,Putative_Ascending,"['duplicate - manual', 'right DT', 'Putative_Ascending', 'neuron 4633363', 'WTPN2017_lALT_right', 'SCHLEGEL lALT', 'WTPN2017_lALT', 'WTPN2017_non_olf', 'WTPN2017_bypass_AL', 'WTPN2017_right']"
Nujabes upstream 7637516 JS,7637515,True,Ascending,Putative_Ascending,"['right DT', 'Putative_Ascending', 'JS upstream Nujabes']"
neuron 7864586 KS,7864585,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'FlyWire_ground_truth', 'Chiappe-AN-TypeII', 'Chiappe-Right', 'ChiappeLab', 'GNG', 'Ascending Neuron', 'VNC', 'LPTCIN input neuron', 'uLPTCIN input neuron', 'Complete Morphology', 'Chiappe-AN', 'Right Hemisphere']"
neuron 7864819 KS,7864818,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'Chiappe-Putative AN', 'ChiappeLab', 'Putative Ascending Neuron']"
neuron 7865047 KS,7865046,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'FlyWire_ground_truth', 'Chiappe-AN-TypeII', 'Chiappe-Right', 'ChiappeLab', 'GNG', 'VNC', 'uLPTCIN input neuron', 'LPTCIN input neuron', 'Ascending Neuron', 'rLPTCIN input neuron', 'Complete Morphology', 'Chiappe-AN', 'Right Hemisphere']"
neuron 7865451 KS,7865450,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'FlyWire_ground_truth', 'Chiappe-AN-TypeII', 'Chiappe-Right', 'ChiappeLab', 'Ascending Neuron', 'GNG', 'VNC', 'uLPTCIN input neuron', 'LPTCIN input neuron', 'Complete Morphology', 'Chiappe-AN', 'Right Hemisphere']"
neuron 7868440 KS,7868439,True,Ascending,Putative_Ascending,"['right DT', 'Putative_Ascending', 'Putative Ascending Neuron', 'Chiappe-AN-TypeI', 'Chiappe-Putative AN', 'ChiappeLab', 'uLPTCIN input neuron', 'LPTCIN input neuron', 'GNG', 'VNC', 'ME-AN-TypeI', 'Right Hemisphere']"
neuron 7868688 KS,7868687,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'FlyWire_ground_truth', 'Chiappe-AN-TypeII', 'Chiappe-Right', 'ChiappeLab', 'uLPTCIN input neuron', 'LPTCIN input neuron', 'GNG', 'VNC', 'Ascending Neuron', 'Complete Morphology', 'Chiappe-AN', 'Right Hemisphere']"
neuron 7869648 KS,7869647,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'FlyWire_ground_truth', 'Chiappe-AN-TypeII', 'Chiappe-Right', 'ChiappeLab', 'Ascending Neuron', 'VNC', 'GNG', 'uLPTCIN input neuron', 'LPTCIN input neuron', 'Complete Morphology', 'Chiappe-AN', 'Right Hemisphere']"
neuron 7869869 KS,7869868,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'Putative Ascending Neuron', 'Chiappe-Putative AN', 'ChiappeLab', 'uLPTCIN input neuron', 'LPTCIN input neuron', 'GNG', 'VNC', 'Right Hemisphere']"
neuron 7869996 KS,7869995,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'Putative Ascending Neuron', 'Chiappe-Putative AN', 'ChiappeLab', 'GNG', 'uLPTCIN input neuron', 'LPTCIN input neuron', 'VNC']"
neuron 7870671 KS,7870670,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'FlyWire_ground_truth', 'Chiappe-AN-TypeII', 'Chiappe-Right', 'ChiappeLab', 'Ascending Neuron', 'VNC', 'GNG', 'uLPTCIN input neuron', 'LPTCIN input neuron', 'Chiappe-AN', 'Complete Morphology', 'Right Hemisphere']"
neuron 7870875 KS,7870874,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'FlyWire_ground_truth', 'Chiappe-AN-TypeII', 'Chiappe-Right', 'ChiappeLab', 'Ascending Neuron', 'uLPTCIN input neuron', 'LPTCIN input neuron', 'GNG', 'VNC', 'Complete Morphology', 'Chiappe-AN', 'Right Hemisphere']"
neuron 7871080 KS,7871079,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'Chiappe-AN-TypeI', 'FlyWire_ground_truth', 'Chiappe-Right', 'ChiappeLab', 'Ascending Neuron', 'GNG', 'VNC', 'LPTCIN input neuron', 'uLPTCIN input neuron', 'Chiappe-AN', 'Complete Morphology', 'ME-AN-TypeI', 'Right Hemisphere']"
neuron 7871577 KS,7871576,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'FlyWire_ground_truth', 'Chiappe-AN-TypeII', 'Chiappe-Right', 'ChiappeLab', 'uLPTCIN input neuron', 'LPTCIN input neuron', 'GNG', 'VNC', 'Ascending Neuron', 'Chiappe-AN', 'Complete Morphology', 'Right Hemisphere']"
neuron 7872438 KS,7872437,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'Chiappe-AN-TypeI', 'FlyWire_ground_truth', 'Chiappe-Right', 'ChiappeLab', 'GNG', 'VNC', 'Ascending Neuron', 'uLPTCIN input neuron', 'LPTCIN input neuron', 'Chiappe-AN', 'Complete Morphology', 'ME-AN-TypeI', 'Right Hemisphere']"
neuron 7873822 KS,7873821,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'FlyWire_ground_truth', 'Chiappe-AN-TypeII', 'Chiappe-Right', 'ChiappeLab', 'Ascending Neuron', 'uLPTCIN input neuron', 'LPTCIN input neuron', 'GNG', 'VNC', 'Chiappe-AN', 'Complete Morphology', 'Right Hemisphere']"
neuron 7877226 KS,7877225,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'Chiappe-AN-TypeI', 'FlyWire_ground_truth', 'Chiappe-Right', 'ChiappeLab', 'GNG', 'VNC', 'uLPTCIN input neuron', 'LPTCIN input neuron', 'Ascending Neuron', 'Complete Morphology', 'Chiappe-AN', 'ME-AN-TypeI', 'Right Hemisphere']"
neuron 7992444 KS,7992443,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'Chiappe-Putative AN', 'ChiappeLab', 'Putative Ascending Neuron', 'uLPTCIN input neuron', 'ongoing', 'LPTCIN input neuron', 'Chiappe-Ongoing', 'Right Hemisphere']"
neuron 8035312 HL,8035311,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'CAT-Ongoing', 'ReiserLab', 'DN106 input neuron']"
GF input neuron 8183285 SMA - unclassified type 17,8183284,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'RIGHT HEMISPHERE', 'Input to GF1 anterior', 'Ascending Neuron', 'Unclassified GF input neuron - type 17', 'CAT-Ongoing', 'CardLab', 'GF1 input neuron', 'connectives', 'AMMC:ammc', 'AMMC_R', 'GNG', 'SAD', 'WED_R', 'Unilateral', 'projection neuron', 'Homolateral', 'Ipsilateral']"
neuron 8199012 ASB TPN?,8199011,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'duplicate - manual']"
neuron 8296831 [SEZ.R]-VNC Achillea AJES,8296830,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'AJES_upstream_Yeats', 'AJES_upstream_Yeats_04', 'AJES_dendrties_sampled_SEZONs', 'SEZ_01_sampled_upstream', 'SEZ_01_d']"
neuron 8297298 [SEZ.R]-[VNC.R] Celandine AJES,8297297,True,Ascending,Putative_Ascending,"['no FW soma', 'Putative_Ascending', 'right DT', 'AJES_upstream_Yeats', 'AJES_upstream_Yeats_04', 'AJES_dendrties_sampled_SEZONs', 'SEZ_01_sampled_upstream', 'SEZ_01_d']"
neuron 8363348,8363347,True,Ascending,Putative_Ascending,"['right DT', 'Putative_Ascending', 'WTPN2017_bypass_LH', 'WTPN2017_lALT', 'WTPN2017_bypass_AL', 'WTPN2017_lALT_right', 'WTPN2017_non_olf']"
neuron 8459006 CMP,8459005,True,Descending,Descending Neuron,"['Exists V14', 'Catmaid traced DNs', 'right DT', 'Putative_Ascending', 'CAT-Ongoing', 'DicksonLab', 'Descending Neuron', 'pMN2 Input']"
neuron 8471789 CMP,8471788,True,Descending,Descending Neuron,"['Exists V14', 'Catmaid traced DNs', 'no FW soma', 'Putative_Ascending', 'right DT', 'DicksonLab', 'CAT-Ongoing', 'Descending Neuron', 'pMN2 Input']"
neuron 8483371 CMP,8483370,True,Descending,Descending Neuron,"['Exists V14', 'Catmaid traced DNs', 'unclear FW', 'right DT', 'Putative_Ascending', 'DicksonLab', 'CAT-Ongoing', 'Descending Neuron', 'pMN2 Input']"
neuron 8500610 CMP,8500609,True,Descending,Descending Neuron,"['Exists V14', 'Catmaid traced DNs', 'no FW soma', 'right DT', 'Putative_Ascending', 'DicksonLab', 'CAT-Ongoing', 'Descending Neuron', 'pMN2 Input']"
neuron 8510701 JSP ET,8510700,True,Ascending,Putative_Ascending,"['right DT', 'Putative_Ascending', 'CAT-Ongoing', 'CardLab', 'DN106 input neuron']"
neuron 8570430,8570429,True,Ascending,Putative_Ascending,"['duplicate - manual', 'Putative_Ascending', 'WTPN2017_lALT_right', 'SCHLEGEL lALT', 'WTPN2017_lALT', 'WTPN2017_bypass_AL', 'WTPN2017_bypass_LH', 'WTPN2017_non_olf', 'WTPN2017_right']"
neuron 8594317 JSP ET,8594316,True,Ascending,Halted,"['Putative_Ascending', 'duplicate - manual', 'Halted', 'CardLab', 'DN106 input neuron', 'CAT-Ongoing', 'Upstream WED-PN PDP']"
mAL upstream 8623140 KMS,8623139,True,Ascending,FindSoma,"['Putative_Ascending', 'no FW soma', 'duplicate - manual', 'right DT', 'FindSoma', 'mAL upstream 8623140 KMS', 'mAL upstream', 'mAL_notcomp_contra', 'annotation:mAL_notcomp_contra', 'mAL contra upstream 3', 'JefferisLab', 'SEZ PNs - sexually dimorphic circuit']"
neuron 8908286,8908285,True,Ascending,Putative_Ascending,"['right DT', 'Putative_Ascending', 'JS upstream Nujabes']"
LGC downstream 8949383 JS,8949382,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'JS_downstream_LGC_PED', 'JS upstream Nujabes']"
neuron 8976726,8976725,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'JS upstream Nujabes']"
Ascending SEZ neuron 9172120 RJVR,9172119,True,Ascending,Putative_Ascending,['Putative_Ascending']
neuron 9304384 Evanesco PDP,9304383,True,Ascending,Putative_Ascending,['Putative_Ascending']
JO ascending,9446994,True,Ascending,Putative_Ascending,"['right DT', 'Putative_Ascending']"
neuron 9486957 KS,9486956,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'FlyWire_ground_truth', 'Chiappe-AN-TypeIII', 'Chiappe-Left', 'Chiappe-AN', 'ChiappeLab', 'GNG', 'VNC', 'Ascending Neuron', 'uLPTCIN input neuron']"
neuron 9486986 KS,9486985,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'Chiappe-Putative AN', 'ChiappeLab', 'GNG', 'VNC', 'uLPTCIN input neuron', 'Putative Ascending Neuron', 'Left Hemisphere']"
neuron 9487290 KS,9487289,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'FlyWire_ground_truth', 'Chiappe-AN-TypeI', 'Chiappe-Left', 'Chiappe-AN', 'ChiappeLab', 'Ascending Neuron', 'GNG', 'VNC', 'uLPTCIN input neuron', 'ME-AN-TypeI', 'Left Hemisphere']"
neuron 9487622 KS,9487621,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'FlyWire_ground_truth', 'Chiappe-AN-TypeI', 'Chiappe-Left', 'Chiappe-AN', 'ChiappeLab', 'GNG', 'VNC', 'Ascending Neuron', 'uLPTCIN input neuron', 'ME-AN-TypeI', 'Left Hemisphere']"
neuron 9488184 KS,9488183,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'FlyWire_ground_truth', 'Chiappe-AN-TypeI', 'Chiappe-Left', 'Chiappe-AN', 'ChiappeLab', 'GNG', 'VNC', 'uLPTCIN input neuron', 'Ascending Neuron', 'ME-AN-TypeI', 'Left Hemisphere']"
neuron 9489553 KS,9489552,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'FlyWire_ground_truth', 'Chiappe-AN-TypeI', 'Chiappe-Left', 'Chiappe-AN', 'ChiappeLab', 'GNG', 'VNC', 'uLPTCIN input neuron', 'Ascending Neuron', 'ME-AN-TypeI', 'Left Hemisphere']"
neuron 9510388 KS,9510387,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'FlyWire_ground_truth', 'Chiappe-AN-TypeI', 'Chiappe-Left', 'ChiappeLab', 'GNG', 'VNC', 'uLPTCIN input neuron', 'Chiappe-AN', 'Ascending Neuron', 'rLPTCIN input neuron', 'LPTCIN input neuron', 'ME-AN-TypeI', 'Left Hemisphere']"
neuron 9510494 KS,9510493,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'Chiappe-Putative AN', 'ChiappeLab', 'Putative Ascending Neuron', 'Left Hemisphere']"
neuron 9510549 KS,9510548,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'FlyWire_ground_truth', 'Chiappe-AN-TypeI', 'Chiappe-Left', 'VNC', 'uLPTCIN input neuron', 'GNG', 'ChiappeLab', 'Chiappe-AN', 'Ascending Neuron', 'ME-AN-TypeI', 'Left Hemisphere']"
neuron 9510602 KS,9510601,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'FlyWire_ground_truth', 'Chiappe-AN-TypeI', 'Chiappe-Left', 'ChiappeLab', 'GNG', 'VNC', 'uLPTCIN input neuron', 'Chiappe-AN', 'Ascending Neuron', 'ME-AN-TypeI', 'Left Hemisphere']"
neuron 9510608 KS,9510607,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'FlyWire_ground_truth', 'Chiappe-Left', 'Chiappe-AN-TypeII', 'Chiappe-AN', 'ChiappeLab', 'GNG', 'VNC', 'Ascending Neuron', 'uLPTCIN input neuron', 'Left Hemisphere']"
neuron 9510626 KS,9510625,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'Chiappe-Putative AN', 'uLPTCIN input neuron', 'Putative Ascending Neuron', 'GNG', 'ChiappeLab', 'VNC', 'Left Hemisphere']"
neuron 9510638 KS,9510637,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'FlyWire_ground_truth', 'Chiappe-AN-TypeI', 'Chiappe-Left', 'Chiappe-AN', 'uLPTCIN input neuron', 'GNG', 'Ascending Neuron', 'ChiappeLab', 'VNC', 'ME-AN-TypeI', 'Left Hemisphere']"
neuron 9510646 KS,9510645,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'FlyWire_ground_truth', 'Chiappe-Left', 'Chiappe-AN-Unclassified', 'Chiappe-AN', 'ChiappeLab', 'GNG', 'VNC', 'uLPTCIN input neuron', 'Ascending Neuron', 'Left Hemisphere']"
neuron 9510703 KS,9510702,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'FlyWire_ground_truth', 'Chiappe-AN-TypeI', 'Chiappe-Left', 'ChiappeLab', 'Chiappe-AN', 'Ascending Neuron', 'GNG', 'VNC', 'uLPTCIN input neuron', 'ME-AN-TypeI', 'Left Hemisphere']"
neuron 9510734 KS,9510733,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'FlyWire_ground_truth', 'Chiappe-Left', 'Chiappe-AN-TypeII', 'Chiappe-AN', 'ChiappeLab', 'GNG', 'VNC', 'uLPTCIN input neuron', 'Ascending Neuron', 'Left Hemisphere']"
neuron 9510748 KS,9510747,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'FlyWire_ground_truth', 'Chiappe-AN-TypeI', 'Chiappe-Left', 'Chiappe-AN', 'ChiappeLab', 'uLPTCIN input neuron', 'GNG', 'VNC', 'Ascending Neuron', 'ME-AN-TypeI', 'Left Hemisphere']"
neuron 9510788 ME,9510787,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'FlyWire_ground_truth', 'Chiappe-AN-TypeI', 'Chiappe-Left', 'ChiappeLab', 'Ascending Neuron', 'Chiappe-AN', 'GNG', 'VNC', 'uLPTCIN input neuron', 'LPTCIN input neuron', 'ME-AN-TypeI', 'Left Hemisphere']"
neuron 9510797 KS,9510796,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'rLPTCIN input neuron', 'Chiappe-Putative AN', 'GNG', 'uLPTCIN input neuron', 'ChiappeLab', 'Putative Ascending Neuron', 'VNC', 'Left Hemisphere']"
neuron 9510818 KS,9510817,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'Chiappe-Putative AN', 'GNG', 'VNC', 'Putative Ascending Neuron', 'uLPTCIN input neuron', 'ChiappeLab', 'Left Hemisphere']"
neuron 9511001 KS,9511000,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'FlyWire_ground_truth', 'Chiappe-AN-TypeI', 'Chiappe-Left', 'ChiappeLab', 'Chiappe-AN', 'Ascending Neuron', 'GNG', 'VNC', 'uLPTCIN input neuron', 'ME-AN-TypeI', 'Left Hemisphere']"
neuron 9511021 KS,9511020,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'Chiappe-Putative AN', 'ChiappeLab', 'Putative Ascending Neuron', 'GNG', 'VNC', 'uLPTCIN input neuron', 'Left Hemisphere']"
neuron 9511059 KS,9511058,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'FlyWire_ground_truth', 'Chiappe-AN-TypeI', 'Chiappe-Left', 'ChiappeLab', 'VNC', 'Chiappe-AN', 'GNG', 'uLPTCIN input neuron', 'Ascending Neuron', 'ME-AN-TypeI', 'Left Hemisphere']"
neuron 9511170 KS,9511169,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'FlyWire_ground_truth', 'Chiappe-AN-TypeI', 'Chiappe-Left', 'Chiappe-AN', 'ChiappeLab', 'Ascending Neuron', 'GNG', 'VNC', 'uLPTCIN input neuron', 'ME-AN-TypeI', 'Left Hemisphere']"
neuron 9511458 KS,9511457,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'Chiappe-Putative AN', 'ChiappeLab', 'GNG', 'VNC', 'uLPTCIN input neuron', 'Putative Ascending Neuron', 'Left Hemisphere']"
