Neuron Name,skeletonID,GF1 Synapse Count,annotations
GF input neuron 1316816 MAR JSP - unclassified type 58,1316815,42,"['CAT-Ongoing', 'Bilateral', 'Input to GF2 lateral', 'LEFT HEMISPHERE', 'Input to GF1 lateral', 'CardLab', 'GF2 input neuron', 'GF1 input neuron', 'Input to GF1 medial', 'ACBR', 'GC', 'Unclassified GF input neuron - type 58', 'Input to GF2 anterior', 'Non-Visual_Interneuron', 'AVLP_L', 'EPA_L', 'EPA_R', 'GA_L', 'GOR_R', 'IB_L', 'ICL_L', 'LAL_L', 'PVLP_L', 'PLP_L', 'PVLP_R', 'SPS_L', 'SPS_R', 'LO_L', 'contralateral', 'Heterolateral', 'projection neuron']"
putative LPLC2 neuron 1316828 SMA,1316827,13,"['LOP-R', 'LO-R', 'CardLab', 'RIGHT HEMISPHERE', 'LHN_JUNE_2017', 'LHN_JUNE_2017_NON_PN', 'LPLC2', 'Input to GF1 lateral', 'GF1 input neuron', 'CAT-Ongoing', 'Visual', 'LCBR', 'LO_R', 'LOP_R', 'PVLP_R', 'Ipsilateral', 'projection neuron', 'Homolateral', 'Unilateral', 'VPN', 'VisualVideo']"
putative LPLC2 neuron 1316842 MAR,1316841,7,"['GF1 input neuron', 'LHN_JUNE_2017', 'presynaptic to LC4', 'Visual', 'LCBR', 'LPLC2', 'RIGHT HEMISPHERE', 'CardLab', 'LHN_JUNE_2017_NON_PN', 'LO-R', 'LOP-R', 'Input to GF1 lateral', 'LO_R', 'LOP_R', 'PLP_R', 'PVLP_R', 'Ipsilateral', 'projection neuron', 'Homolateral', 'Unilateral', 'VPN', 'VisualVideo']"
putative LPLC2 neuron 1316848 JSP SMA ,1316847,16,"['LHN_JUNE_2017', 'LHN_JUNE_2017_NON_PN', 'GF1 input neuron', 'RIGHT HEMISPHERE', 'CAT-Ongoing', 'Input to GF1 lateral', 'LOP-R', 'PVLP-R', 'CardLab', 'LO-R', 'LPLC2', 'presynaptic to LC4', 'Presynaptic to LPLC2', 'Postsynaptic to LPLC2', 'Visual', 'Presynaptic to LC28', 'LCBR', 'LO_R', 'LOP_R', 'ME_R', 'PLP_R', 'PVLP_R', 'Ipsilateral', 'projection neuron', 'Homolateral', 'Unilateral', 'VPN', 'VisualVideo']"
GF input neuron 1316884 JSP - unclassified type 62,1316883,6,"['CardLab', 'CAT-Ongoing', 'GF1 input neuron', 'Input to GF1 lateral', 'LEFT HEMISPHERE', 'Bilateral', 'ACBR', 'GC', 'N2 Sampler Widget Partners', 'Connected to pMN2', 'Unclassified GF input neuron - type 62', 'Non-Visual_Interneuron', 'pMN2 Input', 'AVLP_L', 'AVLP_R', 'EPA_R', 'GA_L', 'GOR_L', 'IB_L', 'ICL_L', 'LAL_L', 'LAL_R', 'PVLP_L', 'PLP_L', 'PLP_R', 'PVLP_R', 'SPS_L', 'SPS_R', 'contralateral', 'Heterolateral', 'projection neuron']"
GF input neuron 1316890 SMA - unclassified type 62,1316889,3,"['Green GF Inputs', 'CAT-Ongoing', 'CardLab', 'GF1 input neuron', 'LEFT HEMISPHERE', 'Bilateral', 'Input to GF1 lateral', 'ACBR', 'GC', 'Unclassified GF input neuron - type 62', 'Non-Visual_Interneuron', 'AVLP_L', 'AVLP_R', 'EPA_R', 'GOR_L', 'IB_L', 'ICL_L', 'LAL_L', 'PVLP_L', 'PLP_L', 'PVLP_R', 'SPS_L', 'SPS_R', 'contralateral', 'Heterolateral', 'projection neuron']"
putative LPLC2 neuron 1316930 SMA JSP,1316929,25,"['LHN_JUNE_2017', 'LHN_JUNE_2017_NON_PN', 'presynaptic to LC4', 'CardLab', 'LCBR', 'CAT-Ongoing', 'Visual', 'RIGHT HEMISPHERE', 'Input to GF1 lateral', 'LPLC2', 'GF1 input neuron', 'LO-R', 'LOP-R', 'LO_R', 'LOP_R', 'PLP_R', 'PVLP_R', 'Ipsilateral', 'projection neuron', 'Homolateral', 'Unilateral', 'VPN', 'VisualVideo']"
GF input neuron 1316942 JSP - unclassified type 21a,1316941,40,"['CardLab', 'CAT-Ongoing', 'GF1 input neuron', 'Input to GF1 lateral', 'LEFT HEMISPHERE', 'Bilateral', 'ACBR', 'presynaptic to LC4', 'GC', 'Postsynaptic to LC4', 'Visual_Interneuron', 'Unclassified GF input neuron - type 21a', 'GNG', 'AVLP_L', 'AVLP_R', 'GOR_L', 'IB_L', 'ICL_L', 'IPS_L', 'LAL_L', 'WED_L', 'PLP_L', 'PVLP_R', 'SPS_L', 'SPS_R', 'WED_R', 'LO_L', 'presynaptic to DNp02', 'Input to GF1 anterior', 'contralateral', 'Heterolateral', 'projection neuron']"
putative LC4 neuron 309405 GMC SMA,1316949,57,"['CAT-Ongoing', 'Postsynaptic to LPLC2', 'RIGHT HEMISPHERE', 'LO-R', 'CardLab', 'Input to GF1 lateral', 'GF1 input neuron', 'putative LC4 neuron', 'Import', 'neuron 14505411', 'LC4_Imported_Review', 'v14-seg-li-190805.0 upload CATCard', 'neuron 14505387', 'neuron 14505399', 'Visual', 'LCBR', 'LO_R', 'PLP_R', 'PVLP_R', 'WED_R', 'Ipsilateral', 'projection neuron', 'Homolateral', 'Unilateral', 'VPN', 'VisualVideo']"
putative LPLC2 neuron 1316970 MAR,1316969,14,"['BLD6 R', 'GF1 input neuron', 'RIGHT HEMISPHERE', 'CAT-Ongoing', 'Input to GF1 lateral', 'LOP-R', 'LPLC2', 'CardLab', 'LO-R', 'presynaptic to LC4', 'Visual', 'LCBR', 'LO_R', 'LOP_R', 'PVLP_R', 'Ipsilateral', 'projection neuron', 'Homolateral', 'Unilateral', 'VPN', 'VisualVideo']"
putative LPLC2 neuron 1316977 SMA,1316976,15,"['BLD6 R', 'LPLC2', 'GF1 input neuron', 'RIGHT HEMISPHERE', 'CAT-Ongoing', 'Input to GF1 lateral', 'Postsynaptic to T4/T5', 'LOP-R', 'CardLab', 'LO-R', 'Optic Lobe', 'neuron 1124862 postsynaptic to T4/T5 GA', 'Visual', 'LCBR', 'LO_R', 'LOP_R', 'ME_R', 'PLP_R', 'PVLP_R', 'Ipsilateral', 'projection neuron', 'Homolateral', 'Unilateral', 'VPN', 'VisualVideo']"
putative LPLC2 neuron 1316995 MAR,1316994,28,"['GF1 input neuron', 'RIGHT HEMISPHERE', 'LOP-R', 'CardLab', 'LO-R', 'CAT-Ongoing', 'Input to GF1 lateral', 'LPLC2', 'presynaptic to LC4', 'Presynaptic to LPLC2', 'Postsynaptic to LPLC2', 'Visual', 'LCBR', 'LO_R', 'LOP_R', 'ME_R', 'PVLP_R', 'Ipsilateral', 'projection neuron', 'Homolateral', 'Unilateral', 'VPN', 'VisualVideo']"
putative LPLC2 neuron 1317005 MAR SMA,1317004,20,"['BLD6 R', 'LPLC2', 'GF1 input neuron', 'RIGHT HEMISPHERE', 'CAT-Ongoing', 'Input to GF1 lateral', 'LOP-R', 'CardLab', 'LO-R', 'IDu', 'presynaptic to LC4', 'Presynaptic to LPLC2', 'Visual', 'LCBR', 'LO_R', 'LOP_R', 'PVLP_R', 'Ipsilateral', 'projection neuron', 'Homolateral', 'Unilateral', 'VPN', 'VisualVideo']"
GF input neuron 1317017 SMA - unclassified type 57,1317016,6,"['Bilateral', 'GF1 input neuron', 'LEFT HEMISPHERE', 'CAT-Ongoing', 'CardLab', 'GF2 input neuron', 'Input to GF1 lateral', 'Input to GF2 lateral', 'Input to GF2 anterior', 'ACBR', 'GC', 'Unclassified GF input neuron - type 57', 'Non-Visual_Interneuron', 'AVLP_R', 'GA_L', 'GOR_L', 'IB_L', 'ICL_L', 'LAL_L', 'WED_L', 'PVLP_L', 'PLP_L', 'PVLP_R', 'SAD', 'SPS_L', 'SPS_R', 'AMMC_L', 'Heterolateral', 'projection neuron', 'contralateral']"
putative LC4 neuron 1319280 JSP SMA,1319279,29,"['LO-R', 'Postsynaptic to LPLC2', 'v14-seg-li-190805.0 upload CATCard', 'neuron 14505960', 'neuron 14505948', 'neuron 14505971', 'CAT-Ongoing', 'RIGHT HEMISPHERE', 'CardLab', 'Input to GF1 lateral', 'GF1 input neuron', 'putative LC4 neuron', 'Import', 'neuron 14505936', 'LC4_Imported_Review', 'presynaptic to LC4', 'Postsynaptic to LC4', 'Visual', 'LCBR', 'LO_R', 'PVLP_R', 'Ipsilateral', 'Homolateral', 'Unilateral', 'projection neuron', 'VPN', 'VisualVideo']"
putative LPLC2 neuron 1319379 SMA,1319378,16,"['LHN_JUNE_2017', 'LHN_JUNE_2017_NON_PN', 'LPLC2', 'GF1 input neuron', 'RIGHT HEMISPHERE', 'CAT-Ongoing', 'Input to GF1 lateral', 'LOP-R', 'CardLab', 'LO-R', 'presynaptic to LC4', 'Postsynaptic to LPLC2', 'Visual', 'LCBR', 'LO_R', 'ME_R', 'PVLP_R', 'Ipsilateral', 'projection neuron', 'Homolateral', 'Unilateral', 'VPN', 'VisualVideo']"
putative LPLC2 neuron 1319397 JSP,1319396,17,"['CardLab', 'LHN_JUNE_2017', 'LHN_JUNE_2017_NON_PN', 'LPLC2', 'Input to GF1 lateral', 'GF1 input neuron', 'LO-R', 'CAT-Ongoing', 'LOP-R', 'RIGHT HEMISPHERE', 'Visual', 'LCBR', 'LO_R', 'LOP_R', 'PLP_R', 'PVLP_R', 'Ipsilateral', 'projection neuron', 'Homolateral', 'Unilateral', 'VPN', 'VisualVideo']"
putative LPLC2 neuron 1319487 SMA,1319486,7,"['BLD6 R', 'LPLC2', 'presynaptic to LC4', 'Visual', 'LCBR', 'GF1 input neuron', 'LOP-R', 'CAT-Ongoing', 'LO-R', 'CardLab', 'RIGHT HEMISPHERE', 'Input to GF1 lateral', 'LO_R', 'LOP_R', 'PLP_R', 'PVLP_R', 'Ipsilateral', 'projection neuron', 'Homolateral', 'Unilateral', 'VPN', 'VisualVideo']"
putative LPLC2 neuron 1319563 JSP,1319562,9,"['LPLC2', 'Input to GF1 lateral', 'CardLab', 'GF1 input neuron', 'LO-R', 'LHN_JUNE_2017_NON_PN', 'CAT-Ongoing', 'LOP-R', 'LHN_JUNE_2017', 'RIGHT HEMISPHERE', 'Postsynaptic to LPLC2', 'Visual', 'LCBR', 'LO_R', 'LOP_R', 'ME_R', 'PLP_R', 'PVLP_R', 'Ipsilateral', 'Unilateral', 'projection neuron', 'Homolateral', 'VPN', 'VisualVideo']"
Putative LPLC2 neuron 1319624 SMA,1319623,7,"['BLD6 R', 'Lineage_annotated', 'Hartenstein_Hemilineage: BLD6', 'Hartenstein_Lineage: BLD6', 'ItoLee_Lineage: VPNd1', 'ItoLee_Hemilineage: VPNd1', 'GF1 input neuron', 'LCBR', 'presynaptic to LC4', 'Visual', 'LPLC2', 'ReiserLab', 'Input to GF1 lateral', 'Ipsilateral', 'LOP_R', 'RIGHT HEMISPHERE', 'VPN', 'projection neuron', 'CardLab', 'LOP-R', 'CAT-Ongoing', 'LO-R', 'VisualVideo', 'Homolateral', 'Putative LPC2 11951902 CL', 'LO_R', 'presynaptic to LPC1', 'PVLP_R', 'Unilateral']"
putative LPLC2 neuron 1319697 SMA,1319696,21,"['BLD6 R', 'Lineage_annotated', 'Hartenstein_Hemilineage: BLD6', 'Hartenstein_Lineage: BLD6', 'ItoLee_Lineage: VPNd1', 'ItoLee_Hemilineage: VPNd1', 'LPLC2', 'LHN_JUNE_2017', 'LHN_JUNE_2017_NON_PN', 'LO_R', 'VPN', 'LOP_R', 'Homolateral', 'projection neuron', 'VisualVideo', 'Ipsilateral', 'ReiserLab', 'presynaptic to LC4', 'Presynaptic to LPLC2', 'Visual', 'LCBR', 'RIGHT HEMISPHERE', 'GF1 input neuron', 'CAT-Ongoing', 'LOP-R', 'Input to GF1 lateral', 'CardLab', 'LO-R', 'PVLP_R', 'Unilateral']"
putative LPLC2 neuron 1319789 SMA,1319788,11,"['CAT-Ongoing', 'LHN_JUNE_2017', 'LHN_JUNE_2017_NON_PN', 'LPLC2', 'presynaptic to LC4', 'Visual', 'LCBR', 'GF1 input neuron', 'LOP-R', 'LO-R', 'RIGHT HEMISPHERE', 'Input to GF1 lateral', 'CardLab', 'LO_R', 'ME_R', 'PLP_R', 'PVLP_R', 'Ipsilateral', 'Unilateral', 'projection neuron', 'Homolateral', 'VPN', 'VisualVideo']"
putative LPLC2 neuron 1319866 SMA,1319865,21,"['GF1 input neuron', 'RIGHT HEMISPHERE', 'CAT-Ongoing', 'Input to GF1 lateral', 'LHN_JUNE_2017', 'LHN_JUNE_2017_NON_PN', 'LOP-R', 'CardLab', 'LO-R', 'LPLC2', 'Visual', 'LCBR', 'LO_R', 'ME_R', 'PLP_R', 'PVLP_R', 'Ipsilateral', 'Unilateral', 'projection neuron', 'Homolateral', 'VPN', 'VisualVideo']"
putative LPLC2 neuron 1319901 SMA,1319900,15,"['LHN_JUNE_2017', 'LHN_JUNE_2017_NON_PN', 'GF1 input neuron', 'RIGHT HEMISPHERE', 'CAT-Ongoing', 'Input to GF1 lateral', 'LOP-R', 'CardLab', 'LO-R', 'LPLC2', 'Postsynaptic to LPLC2', 'Visual', 'LCBR', 'LO_R', 'ME_R', 'PVLP_R', 'Ipsilateral', 'Unilateral', 'projection neuron', 'Homolateral', 'VPN', 'VisualVideo']"
putative LPLC2 neuron 1319945 MAR SMA,1319944,18,"['CardLab', 'CAT-Ongoing', 'Input to GF1 lateral', 'GF1 input neuron', 'LHN_JUNE_2017', 'LOP-R', 'LO-R', 'RIGHT HEMISPHERE', 'LPLC2', 'LHN_JUNE_2017_NON_PN', 'presynaptic to LC4', 'Postsynaptic to LPLC2', 'Visual', 'LCBR', 'LO_R', 'LOP_R', 'PLP_R', 'PVLP_R', 'Ipsilateral', 'Unilateral', 'projection neuron', 'Homolateral', 'VPN', 'VisualVideo']"
putative LPLC2 neuron 1319969 MAR,1319968,22,"['LHN_JUNE_2017', 'LHN_JUNE_2017_NON_PN', 'CardLab', 'LPLC2', 'LOP-R', 'RIGHT HEMISPHERE', 'LO-R', 'GF1 input neuron', 'Input to GF1 lateral', 'presynaptic to LC4', 'Postsynaptic to LPLC2', 'Visual', 'LCBR', 'LO_R', 'LOP_R', 'ME_R', 'PLP_R', 'PVLP_R', 'Ipsilateral', 'Unilateral', 'projection neuron', 'Homolateral', 'VPN', 'VisualVideo']"
putative LPLC2 neuron 1319976 MAR SMA,1319975,8,"['BLD6 R', 'GF1 input neuron', 'Visual', 'LCBR', 'LOP-R', 'CAT-Ongoing', 'LPLC2', 'LO-R', 'Input to GF1 lateral', 'RIGHT HEMISPHERE', 'CardLab', 'LO_R', 'LOP_R', 'PLP_R', 'PVLP_R', 'Ipsilateral', 'Unilateral', 'projection neuron', 'Homolateral', 'VPN', 'VisualVideo']"
putative LPLC2 neuron 1320018 SMA,1320017,20,"['LPLC2', 'Postsynaptic to LC4', 'LHN_JUNE_2017', 'LHN_JUNE_2017_NON_PN', 'presynaptic to LC4', 'Visual', 'LCBR', 'GF1 input neuron', 'LOP-R', 'CAT-Ongoing', 'LO-R', 'RIGHT HEMISPHERE', 'Input to GF1 lateral', 'CardLab', 'LO_R', 'LOP_R', 'PVLP_R', 'Ipsilateral', 'Unilateral', 'projection neuron', 'Homolateral', 'VPN', 'VisualVideo']"
GF input neuron 1320077 SMA JSP - unclassified type 62,1320076,3,"['DALv1 R', 'Lineage_annotated', 'Hartenstein_Hemilineage: DALv1', 'Hartenstein_Lineage: DALv1', 'ItoLee_Lineage: VLPa2', 'ItoLee_Hemilineage: VLPa2', 'CAT-Ongoing', 'CardLab', 'GF1 input neuron', 'RIGHT HEMISPHERE', 'Bilateral', 'Input to GF1 lateral', 'ACBR', 'GC', 'Unclassified GF input neuron - type 62', 'Non-Visual_Interneuron', 'AVLP_L', 'AVLP_R', 'GOR_R', 'IB_L', 'ICL_R', 'PVLP_L', 'PLP_L', 'PLP_R', 'PVLP_R', 'SPS_L', 'SPS_R', 'LO_L', 'Ipsilateral', 'Heterolateral', 'projection neuron']"
putative LPLC2 neuron 1320162 SMA JSP,1320161,9,"['BLD6 R', 'Lineage_annotated', 'Hartenstein_Hemilineage: BLD6', 'Hartenstein_Lineage: BLD6', 'ItoLee_Lineage: VPNd1', 'ItoLee_Hemilineage: VPNd1', 'GF1 input neuron', 'RIGHT HEMISPHERE', 'CAT-Ongoing', 'Input to GF1 lateral', 'LOP-R', 'CardLab', 'LO-R', 'LPLC2', 'presynaptic to LC4', 'Visual', 'LCBR', 'LO_R', 'LOP_R', 'PLP_R', 'PVLP_R', 'Ipsilateral', 'Unilateral', 'projection neuron', 'Homolateral', 'VPN', 'VisualVideo']"
putative LPLC2 neuron 1320168 SMA,1320167,16,"['LHN_JUNE_2017', 'LHN_JUNE_2017_NON_PN', 'LPLC2', 'Input to GF1 lateral', 'GF1 input neuron', 'LO-R', 'CardLab', 'CAT-Ongoing', 'LOP-R', 'RIGHT HEMISPHERE', 'presynaptic to LC4', 'Visual', 'LCBR', 'LO_R', 'LOP_R', 'PLP_R', 'PVLP_R', 'Ipsilateral', 'Unilateral', 'projection neuron', 'Homolateral', 'VPN', 'VisualVideo']"
putative LPLC2 neuron 1320180 SMA,1320179,3,"['BLD6 R', 'CAT-Ongoing', 'CardLab', 'GF1 input neuron', 'RIGHT HEMISPHERE', 'LOP-R', 'LO-R', 'Input to GF1 lateral', 'LPLC2', 'Visual', 'LCBR', 'LO_R', 'LOP_R', 'PLP_R', 'PVLP_R', 'Ipsilateral', 'Unilateral', 'projection neuron', 'Homolateral', 'VPN', 'VisualVideo']"
putative LPLC2 neuron 1322157 SMA,1322156,4,"['BLD6 R', 'Visual', 'LCBR', 'GF1 input neuron', 'LOP-R', 'CAT-Ongoing', 'LPLC2', 'LO-R', 'RIGHT HEMISPHERE', 'Input to GF1 lateral', 'CardLab', 'LO_R', 'LOP_R', 'PLP_R', 'PVLP_R', 'Ipsilateral', 'Unilateral', 'projection neuron', 'Homolateral', 'VPN', 'VisualVideo']"
putative LPLC2 neuron 1322374 SMA,1322373,3,"['BLD6 R', 'CAT-Ongoing', 'CardLab', 'LPLC2', 'presynaptic to LC4', 'Postsynaptic to LPLC2', 'Visual', 'LCBR', 'GF1 input neuron', 'LOP-R', 'LO-R', 'RIGHT HEMISPHERE', 'Input to GF1 lateral', 'LO_R', 'LOP_R', 'PLP_R', 'PVLP_R', 'Ipsilateral', 'Unilateral', 'projection neuron', 'Homolateral', 'VPN', 'VisualVideo']"
putative LPLC2 neuron 1322417 SMA,1322416,7,"['BLD6 R', 'GF1 input neuron', 'CAT-Ongoing', 'RIGHT HEMISPHERE', 'LPLC2', 'presynaptic to LC4', 'Visual', 'LCBR', 'LOP-R', 'LO-R', 'Input to GF1 lateral', 'CardLab', 'LO_R', 'LOP_R', 'PLP_R', 'PVLP_R', 'Ipsilateral', 'Unilateral', 'projection neuron', 'Homolateral', 'VPN', 'VisualVideo']"
putative LPLC2 neuron 1322517 SMA,1322516,4,"['BLD6 R', 'RIGHT HEMISPHERE', 'GF1 input neuron', 'CAT-Ongoing', 'Input to GF1 lateral', 'LOP-R', 'CardLab', 'LO-R', 'LPLC2', 'Visual', 'LCBR', 'LO_R', 'LOP_R', 'PLP_R', 'PVLP_R', 'Ipsilateral', 'Unilateral', 'projection neuron', 'Homolateral', 'VPN', 'VisualVideo']"
putative LPLC2 neuron 1322550 SMA,1322549,6,"['BLD6 R', 'Lineage_annotated', 'Hartenstein_Hemilineage: BLD6', 'Hartenstein_Lineage: BLD6', 'ItoLee_Lineage: VPNd1', 'ItoLee_Hemilineage: VPNd1', 'LHN_JUNE_2017', 'LHN_JUNE_2017_NON_PN', 'GF1 input neuron', 'RIGHT HEMISPHERE', 'CAT-Ongoing', 'Input to GF1 lateral', 'LOP-R', 'CardLab', 'LO-R', 'LPLC2', 'Visual', 'LCBR', 'LO_R', 'LOP_R', 'PVLP_R', 'Ipsilateral', 'Unilateral', 'projection neuron', 'Homolateral', 'VPN', 'VisualVideo']"
putative LPLC2  neuron 1322571 SMA,1322570,3,"['Lineage_annotated', 'Hartenstein_Hemilineage: BLD6', 'Hartenstein_Lineage: BLD6', 'ItoLee_Lineage: VPNd1', 'BLD6 R', 'ItoLee_Hemilineage: VPNd1', 'CAT-Ongoing', 'CardLab', 'GF1 input neuron', 'RIGHT HEMISPHERE', 'LO-R', 'LOP-R', 'Input to GF1 lateral', 'LHN_JUNE_2017', 'LHN_JUNE_2017_NON_PN', 'LPLC2', 'Visual', 'LCBR', 'LO_R', 'LOP_R', 'PVLP_R', 'Ipsilateral', 'Unilateral', 'projection neuron', 'Homolateral', 'VPN', 'VisualVideo']"
putative LPLC2 neuron 1322580 SMA,1322579,8,"['BLD6 R', 'LCBR', 'VisualVideo', 'PLP_R', 'Homolateral', 'VPN', 'presynaptic to LC4', 'Input to GF1 lateral', 'LO_R', 'GF1 input neuron', 'LPLC2', 'Ipsilateral', 'Visual', 'projection neuron', 'LOP-R', 'LO-R', 'LOP_R', 'Unilateral', 'CardLab', 'CAT-Ongoing', 'RIGHT HEMISPHERE', 'PVLP_R']"
putative LPLC2 neuron 1322846 MAR,1322845,10,"['BLD6 R', 'GF1 input neuron', 'RIGHT HEMISPHERE', 'Input to GF1 lateral', 'LPLC2', 'CardLab', 'presynaptic to LC4', 'Visual', 'LCBR', 'LO-R', 'LOP-R', 'LO_R', 'LOP_R', 'PLP_R', 'PVLP_R', 'Ipsilateral', 'Unilateral', 'projection neuron', 'Homolateral', 'VPN', 'VisualVideo']"
putative LPLC2 neuron 1322853 MAR,1322852,20,"['BLD6 R', 'Lineage_annotated', 'Hartenstein_Hemilineage: BLD6', 'Hartenstein_Lineage: BLD6', 'ItoLee_Lineage: VPNd1', 'ItoLee_Hemilineage: VPNd1', 'GF1 input neuron', 'RIGHT HEMISPHERE', 'CAT-Ongoing', 'CardLab', 'LOP-R', 'LO-R', 'Input to GF1 lateral', 'LPLC2', 'LHN_JUNE_2017', 'LHN_JUNE_2017_NON_PN', 'presynaptic to LC4', 'Visual', 'LCBR', 'LO_R', 'LOP_R', 'PVLP_R', 'Ipsilateral', 'Unilateral', 'projection neuron', 'Homolateral', 'VPN', 'VisualVideo']"
putative LPLC2 neuron 1323336 SMA,1323335,15,"['BLD6 R', 'GF1 input neuron', 'RIGHT HEMISPHERE', 'CAT-Ongoing', 'Input to GF1 lateral', 'LOP-R', 'CardLab', 'LO-R', 'LPLC2', 'presynaptic to LC4', 'Visual', 'LCBR', 'LO_R', 'LOP_R', 'PVLP_R', 'Ipsilateral', 'Unilateral', 'projection neuron', 'Homolateral', 'VPN', 'VisualVideo']"
putative LPLC2 neuron 1323591 SMA,1323590,16,"['RIGHT HEMISPHERE', 'CAT-Ongoing', 'IDu', 'LOP-R', 'GF1 input neuron', 'Input to GF1 lateral', 'CardLab', 'LO-R', 'LPLC2', 'Visual', 'LCBR', 'LO_R', 'LOP_R', 'PLP_R', 'PVLP_R', 'Ipsilateral', 'Unilateral', 'projection neuron', 'Homolateral', 'VPN', 'VisualVideo']"
GF input neuron 1324081 SMA - unclassified type 58,1324080,33,"['Lineage_annotated', 'ACBR', 'Unclassified GF input neuron - type 58', 'GF2 input neuron', 'RIGHT HEMISPHERE', 'Input to GF2 medial', 'Bilateral', 'CAT-Ongoing', 'Input to GF1 lateral', 'GF1 input neuron', 'Input to GF1 soma tract', 'CardLab', 'Input to GF1 anterior', 'DALv1 R', 'Hartenstein_Hemilineage: DALv1', 'Hartenstein_Lineage: DALv1', 'ItoLee_Lineage: VLPa2', 'ItoLee_Hemilineage: VLPa2', 'GC', 'Non-Visual_Interneuron', 'AVLP_R', 'EPA_L', 'FB', 'EPA_R', 'GOR_L', 'GOR_R', 'IB_L', 'ICL_R', 'PVLP_L', 'PLP_R', 'PVLP_R', 'SPS_L', 'SPS_R', 'WED_R', 'projection neuron', 'Ipsilateral', 'Heterolateral']"
GF input neuron 1324420 SMA JSP - unclassified type 58,1324419,10,"['GF1 input neuron', 'Bilateral', 'LEFT HEMISPHERE', 'CAT-Ongoing', 'Input to GF1 lateral', 'CardLab', 'Input to GF1 medial', 'ACBR', 'GC', 'Unclassified GF input neuron - type 58', 'Non-Visual_Interneuron', 'AVLP_L', 'FB', 'EPA_R', 'GOR_L', 'GOR_R', 'IB_L', 'ICL_L', 'LAL_L', 'WED_L', 'PVLP_L', 'PLP_L', 'PVLP_R', 'SPS_L', 'SPS_R', 'LO_L', 'contralateral', 'Heterolateral', 'projection neuron']"
putative LC4 neuron 1324490 MAR SMA,1324489,39,"['Postsynaptic to LPLC2', 'LO-R', 'CAT-Ongoing', 'GF1 input neuron', 'neuron 14506690', 'neuron 14506726', 'Import', 'neuron 14506702', 'v14-seg-li-190805.0 upload CATCard', 'neuron 14506714', 'LC4_Imported_Review', 'presynaptic to LC4', 'Postsynaptic to LC4', 'Visual', 'CardLab', 'putative LC4 neuron', 'Input to GF1 lateral', 'RIGHT HEMISPHERE', 'LCBR', 'LO_R', 'PVLP_R', 'Ipsilateral', 'Unilateral', 'Homolateral', 'projection neuron', 'VPN', 'VisualVideo']"
GF input neuron 1324498 SMA - unclassified type 70,1324497,9,"['Hartenstein_Hemilineage: DPLpv_posterior', 'ItoLee_Hemilineage: VLPp&l1_posterior', 'Postsynaptic to LC4', 'ItoLee_Lineage: VLPp&l1', 'Lineage_annotated', 'Hartenstein_Lineage: DPLpv', 'Putative_Neurotransmitter: ChA, GABA', 'DPLpv R', 'DPLpv d', 'GF1 input neuron', 'CAT-Ongoing', 'RIGHT HEMISPHERE', 'CardLab', 'Input to GF1 lateral', 'LCBR', 'Visual_Interneuron', 'Unclassified GF input neuron - type 70', 'AVLP_R', 'GOR_R', 'PLP_R', 'PVLP_R', 'SPS_R', 'WED_R', 'Unilateral', 'Ipsilateral', 'projection neuron', 'Homolateral']"
GF input neuron 1324848 MAR SMA JSP - unclassified type 10,1324847,60,"['Multi-Modal', 'Unclassified GF input neuron - type 10', 'Bilateral', 'Ipsilateral', 'GF2 input neuron', 'Volume_MixedIO_Lattice_33', 'WED_R', 'AMMC_R', 'AVLP_R', 'RIGHT HEMISPHERE', 'PVLP_R', 'Neuron 1157650 split from GF input neuron 867316 MAR', 'postsynaptic to JONeuron', 'Input to GF1 medial', 'SPS_L', 'Postsynaptic to LC4', 'CAT-Ongoing', 'VES_R', 'PLP_R', 'Mixed I/O Seed - Lattice - Neuropil', 'Mixed I/O Seed - Lattice', 'IPS_R', 'Postsynaptic to LPLC2', 'GF1 input neuron', 'Mixed I/O Seed - Lattice - Complete', 'EPA_R', 'CardLab', 'Mechanosensory Interneuron', 'Input to GF1 lateral', 'Type 10a', 'Input to GF1 anterior', 'v14-seg-li-190805.0 upload card_lab', 'Import', 'neuron upload', 'Lineage_annotated', 'Hartenstein_Hemilineage: BLVp1_posterior', 'Hartenstein_Lineage: BLVp1', 'ItoLee_Lineage: VLPl&p2', 'ItoLee_Hemilineage: VLPl&p2_posterior', 'Input to GF2 medial', 'GC', 'PCBR', 'BLVp1 p', 'DN106 input neuron', 'Visual_Interneuron', 'GOR_L', 'GOR_R', 'IB_L', 'ICL_R', 'SAD', 'SPS_R', 'Input to GF1 soma tract', 'Heterolateral', 'projection neuron']"
putative LC4 neuron 1325026 MAR,1325025,46,"['GF1 input neuron', 'Import', 'LC4_Imported_Review', 'neuron 14507368', 'neuron 14507394', 'neuron 14507380', 'neuron 14507344', 'neuron 14507356', 'neuron 14507406', 'v14-seg-li-190805.0 upload CATCard', 'Postsynaptic to LC4', 'LCBR', 'CAT-Ongoing', 'Postsynaptic to LPLC2', 'RIGHT HEMISPHERE', 'CardLab', 'Input to GF1 lateral', 'Visual', 'putative LC4 neuron', 'LO-R', 'AVLP_R', 'LO_R', 'PLP_R', 'PVLP_R', 'WED_R', 'Ipsilateral', 'Homolateral', 'Unilateral', 'projection neuron', 'VPN', 'VisualVideo']"
